Epoch	Learning Rate	Train Loss	Train Acc.	Test Loss	Test Acc.	
1.000000	0.000100	1.544356	0.611111	0.000000	0.000000	
2.000000	0.000100	0.548652	0.743187	0.000000	0.000000	
3.000000	0.000100	0.495749	0.805031	0.000000	0.000000	
4.000000	0.000100	0.449437	0.835430	0.000000	0.000000	
5.000000	0.000100	0.419621	0.842767	0.000000	0.000000	
6.000000	0.000100	0.386655	0.859539	0.000000	0.000000	
7.000000	0.000100	0.358145	0.868973	0.000000	0.000000	
8.000000	0.000100	0.327760	0.887841	0.000000	0.000000	
9.000000	0.000100	0.312246	0.865828	0.000000	0.000000	
10.000000	0.000100	0.272752	0.887841	0.000000	0.000000	
11.000000	0.000100	0.310997	0.877358	0.000000	0.000000	
12.000000	0.000100	0.259289	0.890985	0.000000	0.000000	
13.000000	0.000100	0.246999	0.886792	0.000000	0.000000	
14.000000	0.000100	0.246852	0.893082	0.000000	0.000000	
15.000000	0.000100	0.286580	0.890985	0.000000	0.000000	
16.000000	0.000100	0.216175	0.906709	0.000000	0.000000	
17.000000	0.000100	0.237153	0.903564	0.000000	0.000000	
18.000000	0.000100	0.194943	0.921384	0.000000	0.000000	
19.000000	0.000100	0.170638	0.928721	0.000000	0.000000	
20.000000	0.000100	0.134264	0.945493	0.000000	0.000000	
21.000000	0.000100	0.093741	0.963312	0.000000	0.000000	
22.000000	0.000100	0.043266	0.987421	0.000000	0.000000	
23.000000	0.000100	0.040748	0.985325	0.000000	0.000000	
24.000000	0.000100	0.012582	1.000000	0.000000	0.000000	
25.000000	0.000100	0.007279	1.000000	0.000000	0.000000	
26.000000	0.000100	0.005770	1.000000	0.000000	0.000000	
27.000000	0.000100	0.004416	1.000000	0.000000	0.000000	
28.000000	0.000100	0.003682	1.000000	0.000000	0.000000	
29.000000	0.000100	0.003056	1.000000	0.000000	0.000000	
30.000000	0.000100	0.002666	1.000000	0.000000	0.000000	
31.000000	0.000100	0.002286	1.000000	0.000000	0.000000	
32.000000	0.000100	0.001889	1.000000	0.000000	0.000000	
33.000000	0.000100	0.001643	1.000000	0.000000	0.000000	
34.000000	0.000100	0.001528	1.000000	0.000000	0.000000	
35.000000	0.000100	0.001418	1.000000	0.000000	0.000000	
36.000000	0.000100	0.001259	1.000000	0.000000	0.000000	
37.000000	0.000100	0.001132	1.000000	0.000000	0.000000	
38.000000	0.000100	0.001052	1.000000	0.000000	0.000000	
39.000000	0.000100	0.001004	1.000000	0.000000	0.000000	
40.000000	0.000100	0.000942	1.000000	0.000000	0.000000	
41.000000	0.000010	0.000859	1.000000	0.000000	0.000000	
42.000000	0.000010	0.000852	1.000000	0.000000	0.000000	
43.000000	0.000010	0.000845	1.000000	0.000000	0.000000	
44.000000	0.000010	0.000840	1.000000	0.000000	0.000000	
45.000000	0.000010	0.000839	1.000000	0.000000	0.000000	
46.000000	0.000010	0.000828	1.000000	0.000000	0.000000	
47.000000	0.000010	0.000829	1.000000	0.000000	0.000000	
48.000000	0.000010	0.000824	1.000000	0.000000	0.000000	
49.000000	0.000010	0.000820	1.000000	0.000000	0.000000	
50.000000	0.000010	0.000813	1.000000	0.000000	0.000000	
