Epoch	Learning Rate	Train Loss	Train Acc.	Test Loss	Test Acc.	
1.000000	0.000100	0.661373	0.668763	0.000000	0.000000	
2.000000	0.000100	0.519778	0.771488	0.000000	0.000000	
3.000000	0.000100	0.460006	0.820755	0.000000	0.000000	
4.000000	0.000100	0.422974	0.844864	0.000000	0.000000	
5.000000	0.000100	0.391970	0.864780	0.000000	0.000000	
6.000000	0.000100	0.343325	0.879455	0.000000	0.000000	
7.000000	0.000100	0.311530	0.887841	0.000000	0.000000	
8.000000	0.000100	0.291609	0.895178	0.000000	0.000000	
9.000000	0.000100	0.270861	0.910901	0.000000	0.000000	
10.000000	0.000100	0.270912	0.889937	0.000000	0.000000	
11.000000	0.000100	0.247131	0.909853	0.000000	0.000000	
12.000000	0.000100	0.238483	0.906709	0.000000	0.000000	
13.000000	0.000100	0.244368	0.903564	0.000000	0.000000	
14.000000	0.000100	0.201360	0.916143	0.000000	0.000000	
15.000000	0.000100	0.223061	0.909853	0.000000	0.000000	
16.000000	0.000100	0.200593	0.926625	0.000000	0.000000	
17.000000	0.000100	0.168293	0.930818	0.000000	0.000000	
18.000000	0.000100	0.105142	0.952830	0.000000	0.000000	
19.000000	0.000100	0.070548	0.972746	0.000000	0.000000	
20.000000	0.000100	0.061167	0.975891	0.000000	0.000000	
21.000000	0.000100	0.053592	0.981132	0.000000	0.000000	
22.000000	0.000100	0.015513	0.993711	0.000000	0.000000	
23.000000	0.000100	0.003092	1.000000	0.000000	0.000000	
24.000000	0.000100	0.002991	1.000000	0.000000	0.000000	
25.000000	0.000100	0.002045	1.000000	0.000000	0.000000	
26.000000	0.000100	0.001733	1.000000	0.000000	0.000000	
27.000000	0.000100	0.001538	1.000000	0.000000	0.000000	
28.000000	0.000100	0.001215	1.000000	0.000000	0.000000	
29.000000	0.000100	0.000999	1.000000	0.000000	0.000000	
30.000000	0.000100	0.000980	1.000000	0.000000	0.000000	
31.000000	0.000100	0.000836	1.000000	0.000000	0.000000	
32.000000	0.000100	0.000699	1.000000	0.000000	0.000000	
33.000000	0.000100	0.000697	1.000000	0.000000	0.000000	
34.000000	0.000100	0.000620	1.000000	0.000000	0.000000	
35.000000	0.000100	0.000594	1.000000	0.000000	0.000000	
36.000000	0.000100	0.000528	1.000000	0.000000	0.000000	
37.000000	0.000100	0.000478	1.000000	0.000000	0.000000	
38.000000	0.000100	0.000451	1.000000	0.000000	0.000000	
39.000000	0.000100	0.000467	1.000000	0.000000	0.000000	
40.000000	0.000100	0.000420	1.000000	0.000000	0.000000	
41.000000	0.000010	0.000372	1.000000	0.000000	0.000000	
42.000000	0.000010	0.000368	1.000000	0.000000	0.000000	
43.000000	0.000010	0.000366	1.000000	0.000000	0.000000	
44.000000	0.000010	0.000364	1.000000	0.000000	0.000000	
45.000000	0.000010	0.000363	1.000000	0.000000	0.000000	
46.000000	0.000010	0.000361	1.000000	0.000000	0.000000	
47.000000	0.000010	0.000358	1.000000	0.000000	0.000000	
48.000000	0.000010	0.000362	1.000000	0.000000	0.000000	
49.000000	0.000010	0.000357	1.000000	0.000000	0.000000	
50.000000	0.000010	0.000355	1.000000	0.000000	0.000000	
